age,genotype,count,count_std,weight
60,wt,764,225.1292386766829,1973041384278789e-20
60,wt,755.5,225.1292386766829,1973041384278789e-20
60,wt,1254.5,225.1292386766829,1973041384278789e-20
60,wt,845.5,225.1292386766829,1973041384278789e-20
60,wt,708,225.1292386766829,1973041384278789e-20
60,wt,1221,225.1292386766829,1973041384278789e-20
60,wt,804,225.1292386766829,1973041384278789e-20
60,wt,699,225.1292386766829,1973041384278789e-20
210,wt,232,93.00179209742859,0.00011561584707877297
210,wt,396,93.00179209742859,0.00011561584707877297
210,wt,238,93.00179209742859,0.00011561584707877297
660,wt,116.33333,72.75858569167146,0.0001888998021310654
660,wt,88.33333,72.75858569167146,0.0001888998021310654
660,wt,225.99996,72.75858569167146,0.0001888998021310654
